i,seed_i,m,c1,c2,c3,c4,c5,c6,loglik,penalty,penlik,truelik,truepen,truepenlike
85,84543,5,7.2923811770810705,22.514276962200338,46.804164583344146,54.84118758970882,65.32867327485573,0,608.2195200380511,49.66781972035305,657.8873397584041,610.1711053375795,42.65500765430911,652.8261129918886
86,85543,4,8.295204346930522,21.21087494032356,45.171119912327036,63.3067274914734,0,0,620.0819832141959,42.68246918552817,662.7644523997241,620.3724751814497,42.65500765430911,663.0274828357587
87,86543,4,8.186015769593237,20.273488891757907,45.79332689028247,56.722749795124955,0,0,628.1324415892085,42.50722769868277,670.6396692878913,629.251609876784,42.65500765430911,671.906617531093
88,87543,4,8.96757142577992,19.93317196327843,40.40076584940655,67.6684043845423,0,0,640.3474396352815,42.65901309889618,683.0064527341776,639.4923103262399,42.65500765430911,682.147317980549
89,88543,4,8.134039093563691,19.224932785623093,45.05346949320319,57.73539461702383,0,0,627.3432281039334,42.52202863685617,669.8652567407895,627.4990988842711,42.65500765430911,670.1541065385802
90,89543,4,10.2355893288429,20.73257683257811,45.1654656499908,59.93949587491998,0,0,613.6482524707332,42.53073267002114,656.1789851407543,612.927389798786,42.65500765430911,655.582397453095
91,90543,4,6.646436525453978,18.030602551678356,43.53614723740983,60.24347609566093,0,0,629.2865150912482,42.65014195058399,671.9366570418323,629.851505649752,42.65500765430911,672.5065133040611
92,91543,4,10.158717371940408,20.446136922579473,41.73606319781971,60.35053320063119,0,0,627.872593866104,42.55542101474006,670.4280148808441,627.2805608049354,42.65500765430911,669.9355684592445
93,92543,4,8.423113997559994,19.833818718325347,48.81794273387641,58.716473039239645,0,0,619.1016001096319,42.48698680065776,661.5885869102897,619.329750986342,42.65500765430911,661.9847586406511
94,93543,4,7.7708378673051515,21.060542030559187,41.7636455223346,57.62919032920981,0,0,619.8770146506198,42.62852929081598,662.5055439414358,613.6267155797584,42.65500765430911,656.2817232340675
95,94543,4,8.620146636965586,20.484437845458515,38.9749357203674,64.77475617170975,0,0,619.4850080347989,42.67123275760214,662.156240792401,619.1904085167272,42.65500765430911,661.8454161710363
96,95543,4,8.886607124269105,22.22675046650582,43.05541300725988,61.374398863745334,0,0,623.7847766285664,42.65276579376838,666.4375424223348,623.1164299025958,42.65500765430911,665.7714375569049
97,96543,4,7.287968404682027,19.93811268788934,43.55697378829622,56.12355351420833,0,0,642.2507369106132,42.56119952894179,684.811936439555,642.407824147158,42.65500765430911,685.062831801467
98,97543,4,6.542471048906954,18.687043844304824,46.14345370793036,58.63500990399055,0,0,619.0362255409067,42.598788408541395,661.6350139494481,618.2162601067298,42.65500765430911,660.8712677610389
99,98543,4,5.951931597444469,23.070067076728375,48.93400337731489,58.97549523177428,0,0,610.8069638033461,42.625047425683114,653.4320112290292,606.8255315553066,42.65500765430911,649.4805392096157
100,99543,4,11.21013482330342,19.290691612752063,44.03790904430557,58.271585385629976,0,0,632.1799870023049,42.42985648935469,674.6098434916596,632.2829601161288,42.65500765430911,674.9379677704379
